dataset,split,label,image_path,mask_path
REFUGE,training,unknown,../data/raw\refuge\training\images\g0020.jpg,../data/raw\refuge\training\mask\g0020.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0021.jpg,../data/raw\refuge\training\mask\g0021.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0022.jpg,../data/raw\refuge\training\mask\g0022.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0023.jpg,../data/raw\refuge\training\mask\g0023.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0024.jpg,../data/raw\refuge\training\mask\g0024.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0025.jpg,../data/raw\refuge\training\mask\g0025.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0026.jpg,../data/raw\refuge\training\mask\g0026.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0027.jpg,../data/raw\refuge\training\mask\g0027.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0028.jpg,../data/raw\refuge\training\mask\g0028.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0029.jpg,../data/raw\refuge\training\mask\g0029.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0030.jpg,../data/raw\refuge\training\mask\g0030.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0031.jpg,../data/raw\refuge\training\mask\g0031.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0032.jpg,../data/raw\refuge\training\mask\g0032.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0033.jpg,../data/raw\refuge\training\mask\g0033.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0034.jpg,../data/raw\refuge\training\mask\g0034.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0035.jpg,../data/raw\refuge\training\mask\g0035.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0036.jpg,../data/raw\refuge\training\mask\g0036.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0037.jpg,../data/raw\refuge\training\mask\g0037.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0038.jpg,../data/raw\refuge\training\mask\g0038.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0039.jpg,../data/raw\refuge\training\mask\g0039.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0040.jpg,../data/raw\refuge\training\mask\g0040.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0001.jpg,../data/raw\refuge\training\mask\n0001.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0002.jpg,../data/raw\refuge\training\mask\n0002.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0003.jpg,../data/raw\refuge\training\mask\n0003.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0004.jpg,../data/raw\refuge\training\mask\n0004.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0005.jpg,../data/raw\refuge\training\mask\n0005.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0006.jpg,../data/raw\refuge\training\mask\n0006.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0007.jpg,../data/raw\refuge\training\mask\n0007.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0008.jpg,../data/raw\refuge\training\mask\n0008.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0009.jpg,../data/raw\refuge\training\mask\n0009.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0010.jpg,../data/raw\refuge\training\mask\n0010.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0011.jpg,../data/raw\refuge\training\mask\n0011.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0012.jpg,../data/raw\refuge\training\mask\n0012.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0013.jpg,../data/raw\refuge\training\mask\n0013.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0014.jpg,../data/raw\refuge\training\mask\n0014.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0015.jpg,../data/raw\refuge\training\mask\n0015.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0016.jpg,../data/raw\refuge\training\mask\n0016.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0017.jpg,../data/raw\refuge\training\mask\n0017.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0018.jpg,../data/raw\refuge\training\mask\n0018.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0019.jpg,../data/raw\refuge\training\mask\n0019.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0020.jpg,../data/raw\refuge\training\mask\n0020.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0021.jpg,../data/raw\refuge\training\mask\n0021.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0022.jpg,../data/raw\refuge\training\mask\n0022.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0023.jpg,../data/raw\refuge\training\mask\n0023.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0024.jpg,../data/raw\refuge\training\mask\n0024.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0025.jpg,../data/raw\refuge\training\mask\n0025.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0026.jpg,../data/raw\refuge\training\mask\n0026.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0027.jpg,../data/raw\refuge\training\mask\n0027.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0028.jpg,../data/raw\refuge\training\mask\n0028.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0029.jpg,../data/raw\refuge\training\mask\n0029.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0030.jpg,../data/raw\refuge\training\mask\n0030.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0031.jpg,../data/raw\refuge\training\mask\n0031.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0032.jpg,../data/raw\refuge\training\mask\n0032.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0033.jpg,../data/raw\refuge\training\mask\n0033.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0034.jpg,../data/raw\refuge\training\mask\n0034.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0035.jpg,../data/raw\refuge\training\mask\n0035.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0036.jpg,../data/raw\refuge\training\mask\n0036.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0037.jpg,../data/raw\refuge\training\mask\n0037.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0038.jpg,../data/raw\refuge\training\mask\n0038.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0039.jpg,../data/raw\refuge\training\mask\n0039.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0040.jpg,../data/raw\refuge\training\mask\n0040.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0041.jpg,../data/raw\refuge\training\mask\n0041.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0042.jpg,../data/raw\refuge\training\mask\n0042.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0043.jpg,../data/raw\refuge\training\mask\n0043.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0044.jpg,../data/raw\refuge\training\mask\n0044.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0045.jpg,../data/raw\refuge\training\mask\n0045.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0046.jpg,../data/raw\refuge\training\mask\n0046.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0047.jpg,../data/raw\refuge\training\mask\n0047.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0048.jpg,../data/raw\refuge\training\mask\n0048.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0049.jpg,../data/raw\refuge\training\mask\n0049.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0050.jpg,../data/raw\refuge\training\mask\n0050.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0051.jpg,../data/raw\refuge\training\mask\n0051.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0052.jpg,../data/raw\refuge\training\mask\n0052.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0053.jpg,../data/raw\refuge\training\mask\n0053.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0054.jpg,../data/raw\refuge\training\mask\n0054.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0055.jpg,../data/raw\refuge\training\mask\n0055.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0056.jpg,../data/raw\refuge\training\mask\n0056.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0057.jpg,../data/raw\refuge\training\mask\n0057.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0058.jpg,../data/raw\refuge\training\mask\n0058.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0059.jpg,../data/raw\refuge\training\mask\n0059.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0060.jpg,../data/raw\refuge\training\mask\n0060.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0061.jpg,../data/raw\refuge\training\mask\n0061.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0062.jpg,../data/raw\refuge\training\mask\n0062.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0063.jpg,../data/raw\refuge\training\mask\n0063.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0064.jpg,../data/raw\refuge\training\mask\n0064.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0065.jpg,../data/raw\refuge\training\mask\n0065.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0066.jpg,../data/raw\refuge\training\mask\n0066.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0067.jpg,../data/raw\refuge\training\mask\n0067.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0068.jpg,../data/raw\refuge\training\mask\n0068.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0069.jpg,../data/raw\refuge\training\mask\n0069.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0070.jpg,../data/raw\refuge\training\mask\n0070.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0071.jpg,../data/raw\refuge\training\mask\n0071.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0072.jpg,../data/raw\refuge\training\mask\n0072.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0073.jpg,../data/raw\refuge\training\mask\n0073.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0074.jpg,../data/raw\refuge\training\mask\n0074.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0075.jpg,../data/raw\refuge\training\mask\n0075.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0076.jpg,../data/raw\refuge\training\mask\n0076.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0077.jpg,../data/raw\refuge\training\mask\n0077.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0078.jpg,../data/raw\refuge\training\mask\n0078.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0079.jpg,../data/raw\refuge\training\mask\n0079.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0080.jpg,../data/raw\refuge\training\mask\n0080.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0081.jpg,../data/raw\refuge\training\mask\n0081.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0082.jpg,../data/raw\refuge\training\mask\n0082.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0083.jpg,../data/raw\refuge\training\mask\n0083.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0084.jpg,../data/raw\refuge\training\mask\n0084.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0085.jpg,../data/raw\refuge\training\mask\n0085.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0086.jpg,../data/raw\refuge\training\mask\n0086.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0087.jpg,../data/raw\refuge\training\mask\n0087.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0088.jpg,../data/raw\refuge\training\mask\n0088.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0089.jpg,../data/raw\refuge\training\mask\n0089.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0090.jpg,../data/raw\refuge\training\mask\n0090.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0091.jpg,../data/raw\refuge\training\mask\n0091.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0092.jpg,../data/raw\refuge\training\mask\n0092.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0093.jpg,../data/raw\refuge\training\mask\n0093.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0094.jpg,../data/raw\refuge\training\mask\n0094.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0095.jpg,../data/raw\refuge\training\mask\n0095.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0096.jpg,../data/raw\refuge\training\mask\n0096.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0097.jpg,../data/raw\refuge\training\mask\n0097.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0098.jpg,../data/raw\refuge\training\mask\n0098.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0099.jpg,../data/raw\refuge\training\mask\n0099.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0100.jpg,../data/raw\refuge\training\mask\n0100.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0101.jpg,../data/raw\refuge\training\mask\n0101.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0102.jpg,../data/raw\refuge\training\mask\n0102.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0103.jpg,../data/raw\refuge\training\mask\n0103.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0104.jpg,../data/raw\refuge\training\mask\n0104.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0105.jpg,../data/raw\refuge\training\mask\n0105.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0106.jpg,../data/raw\refuge\training\mask\n0106.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0107.jpg,../data/raw\refuge\training\mask\n0107.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0108.jpg,../data/raw\refuge\training\mask\n0108.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0109.jpg,../data/raw\refuge\training\mask\n0109.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0110.jpg,../data/raw\refuge\training\mask\n0110.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0111.jpg,../data/raw\refuge\training\mask\n0111.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0112.jpg,../data/raw\refuge\training\mask\n0112.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0113.jpg,../data/raw\refuge\training\mask\n0113.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0114.jpg,../data/raw\refuge\training\mask\n0114.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0115.jpg,../data/raw\refuge\training\mask\n0115.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0116.jpg,../data/raw\refuge\training\mask\n0116.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0117.jpg,../data/raw\refuge\training\mask\n0117.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0118.jpg,../data/raw\refuge\training\mask\n0118.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0119.jpg,../data/raw\refuge\training\mask\n0119.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0120.jpg,../data/raw\refuge\training\mask\n0120.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0121.jpg,../data/raw\refuge\training\mask\n0121.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0122.jpg,../data/raw\refuge\training\mask\n0122.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0123.jpg,../data/raw\refuge\training\mask\n0123.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0124.jpg,../data/raw\refuge\training\mask\n0124.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0125.jpg,../data/raw\refuge\training\mask\n0125.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0126.jpg,../data/raw\refuge\training\mask\n0126.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0127.jpg,../data/raw\refuge\training\mask\n0127.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0128.jpg,../data/raw\refuge\training\mask\n0128.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0129.jpg,../data/raw\refuge\training\mask\n0129.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0130.jpg,../data/raw\refuge\training\mask\n0130.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0131.jpg,../data/raw\refuge\training\mask\n0131.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0132.jpg,../data/raw\refuge\training\mask\n0132.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0133.jpg,../data/raw\refuge\training\mask\n0133.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0134.jpg,../data/raw\refuge\training\mask\n0134.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0135.jpg,../data/raw\refuge\training\mask\n0135.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0136.jpg,../data/raw\refuge\training\mask\n0136.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0137.jpg,../data/raw\refuge\training\mask\n0137.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0138.jpg,../data/raw\refuge\training\mask\n0138.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0139.jpg,../data/raw\refuge\training\mask\n0139.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0140.jpg,../data/raw\refuge\training\mask\n0140.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0141.jpg,../data/raw\refuge\training\mask\n0141.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0142.jpg,../data/raw\refuge\training\mask\n0142.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0143.jpg,../data/raw\refuge\training\mask\n0143.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0144.jpg,../data/raw\refuge\training\mask\n0144.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0145.jpg,../data/raw\refuge\training\mask\n0145.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0146.jpg,../data/raw\refuge\training\mask\n0146.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0147.jpg,../data/raw\refuge\training\mask\n0147.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0148.jpg,../data/raw\refuge\training\mask\n0148.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0149.jpg,../data/raw\refuge\training\mask\n0149.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0150.jpg,../data/raw\refuge\training\mask\n0150.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0151.jpg,../data/raw\refuge\training\mask\n0151.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0152.jpg,../data/raw\refuge\training\mask\n0152.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0153.jpg,../data/raw\refuge\training\mask\n0153.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0154.jpg,../data/raw\refuge\training\mask\n0154.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0155.jpg,../data/raw\refuge\training\mask\n0155.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0156.jpg,../data/raw\refuge\training\mask\n0156.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0157.jpg,../data/raw\refuge\training\mask\n0157.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0158.jpg,../data/raw\refuge\training\mask\n0158.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0159.jpg,../data/raw\refuge\training\mask\n0159.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0160.jpg,../data/raw\refuge\training\mask\n0160.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0161.jpg,../data/raw\refuge\training\mask\n0161.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0162.jpg,../data/raw\refuge\training\mask\n0162.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0163.jpg,../data/raw\refuge\training\mask\n0163.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0164.jpg,../data/raw\refuge\training\mask\n0164.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0165.jpg,../data/raw\refuge\training\mask\n0165.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0166.jpg,../data/raw\refuge\training\mask\n0166.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0167.jpg,../data/raw\refuge\training\mask\n0167.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0168.jpg,../data/raw\refuge\training\mask\n0168.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0169.jpg,../data/raw\refuge\training\mask\n0169.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0170.jpg,../data/raw\refuge\training\mask\n0170.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0171.jpg,../data/raw\refuge\training\mask\n0171.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0172.jpg,../data/raw\refuge\training\mask\n0172.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0173.jpg,../data/raw\refuge\training\mask\n0173.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0174.jpg,../data/raw\refuge\training\mask\n0174.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0175.jpg,../data/raw\refuge\training\mask\n0175.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0176.jpg,../data/raw\refuge\training\mask\n0176.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0177.jpg,../data/raw\refuge\training\mask\n0177.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0178.jpg,../data/raw\refuge\training\mask\n0178.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0179.jpg,../data/raw\refuge\training\mask\n0179.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0180.jpg,../data/raw\refuge\training\mask\n0180.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0181.jpg,../data/raw\refuge\training\mask\n0181.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0182.jpg,../data/raw\refuge\training\mask\n0182.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0183.jpg,../data/raw\refuge\training\mask\n0183.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0184.jpg,../data/raw\refuge\training\mask\n0184.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0185.jpg,../data/raw\refuge\training\mask\n0185.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0186.jpg,../data/raw\refuge\training\mask\n0186.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0187.jpg,../data/raw\refuge\training\mask\n0187.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0188.jpg,../data/raw\refuge\training\mask\n0188.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0189.jpg,../data/raw\refuge\training\mask\n0189.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0190.jpg,../data/raw\refuge\training\mask\n0190.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0191.jpg,../data/raw\refuge\training\mask\n0191.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0192.jpg,../data/raw\refuge\training\mask\n0192.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0193.jpg,../data/raw\refuge\training\mask\n0193.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0194.jpg,../data/raw\refuge\training\mask\n0194.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0195.jpg,../data/raw\refuge\training\mask\n0195.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0196.jpg,../data/raw\refuge\training\mask\n0196.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0197.jpg,../data/raw\refuge\training\mask\n0197.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0198.jpg,../data/raw\refuge\training\mask\n0198.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0199.jpg,../data/raw\refuge\training\mask\n0199.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0200.jpg,../data/raw\refuge\training\mask\n0200.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0201.jpg,../data/raw\refuge\training\mask\n0201.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0202.jpg,../data/raw\refuge\training\mask\n0202.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0203.jpg,../data/raw\refuge\training\mask\n0203.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0204.jpg,../data/raw\refuge\training\mask\n0204.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\n0205.jpg,../data/raw\refuge\training\mask\n0205.jpg
